USB-500/600 Log File,
Name: TemHumB,
Model: USB-502,
Serial Number: 10223952,
Index,Date/Time,Temp(C),Humidity(%rh),Dew Point(C),
1,23/10/2022 10:05:38 am,25.0,82.5,21.8,
2,23/10/2022 10:20:38 am,25.0,86.5,22.6,
3,23/10/2022 10:35:38 am,26.0,89.0,24.0,
4,23/10/2022 10:50:38 am,26.5,88.0,24.3,
5,23/10/2022 11:05:38 am,27.0,87.0,24.6,
6,23/10/2022 11:20:38 am,28.0,83.0,24.8,
7,23/10/2022 11:35:38 am,28.0,83.0,24.8,
8,23/10/2022 11:50:38 am,28.5,84.0,25.5,
9,23/10/2022 12:05:38 pm,29.0,84.5,26.1,
10,23/10/2022 12:20:38 pm,29.5,84.5,26.6,
11,23/10/2022 12:35:38 pm,29.5,84.0,26.5,
12,23/10/2022 12:50:38 pm,30.0,83.5,26.9,
13,23/10/2022 1:05:38 pm,30.0,83.0,26.8,
14,23/10/2022 1:20:38 pm,30.5,82.5,27.2,
15,23/10/2022 1:35:38 pm,30.5,80.5,26.8,
16,23/10/2022 1:50:38 pm,30.5,80.5,26.8,
17,23/10/2022 2:05:38 pm,30.5,80.5,26.8,
18,23/10/2022 2:20:38 pm,30.5,80.0,26.7,
19,23/10/2022 2:35:38 pm,30.5,80.0,26.7,
20,23/10/2022 2:50:38 pm,30.5,80.5,26.8,
21,23/10/2022 3:05:38 pm,31.0,80.5,27.2,
22,23/10/2022 3:20:38 pm,31.0,80.5,27.2,
23,23/10/2022 3:35:38 pm,31.0,80.5,27.2,
24,23/10/2022 3:50:38 pm,31.5,80.5,27.7,
25,23/10/2022 4:05:38 pm,31.5,80.0,27.6,
26,23/10/2022 4:20:38 pm,31.5,80.0,27.6,
27,23/10/2022 4:35:38 pm,31.5,79.5,27.5,
28,23/10/2022 4:50:38 pm,31.5,79.0,27.4,
29,23/10/2022 5:05:38 pm,31.5,78.5,27.3,
30,23/10/2022 5:20:38 pm,31.5,78.5,27.3,
31,23/10/2022 5:35:38 pm,31.5,78.0,27.2,
32,23/10/2022 5:50:38 pm,31.5,78.0,27.2,
33,23/10/2022 6:05:38 pm,31.0,77.5,26.6,
34,23/10/2022 6:20:38 pm,31.0,77.5,26.6,
35,23/10/2022 6:35:38 pm,31.0,77.5,26.6,
36,23/10/2022 6:50:38 pm,30.5,77.0,26.0,
37,23/10/2022 7:05:38 pm,30.5,77.0,26.0,
38,23/10/2022 7:20:38 pm,30.5,77.0,26.0,
39,23/10/2022 7:35:38 pm,30.5,77.0,26.0,
40,23/10/2022 7:50:38 pm,30.0,77.0,25.5,
41,23/10/2022 8:05:38 pm,30.0,77.0,25.5,
42,23/10/2022 8:20:38 pm,29.5,77.0,25.0,
43,23/10/2022 8:35:38 pm,29.5,77.0,25.0,
44,23/10/2022 8:50:38 pm,29.5,78.5,25.4,
45,23/10/2022 9:05:38 pm,30.0,78.0,25.7,
46,23/10/2022 9:20:38 pm,29.5,77.0,25.0,
47,23/10/2022 9:35:38 pm,29.0,77.5,24.7,
48,23/10/2022 9:50:38 pm,29.0,78.5,24.9,
49,23/10/2022 10:05:38 pm,29.0,79.0,25.0,
50,23/10/2022 10:20:38 pm,28.5,79.5,24.6,
51,23/10/2022 10:35:38 pm,28.5,80.0,24.7,
52,23/10/2022 10:50:38 pm,28.5,80.5,24.8,
