USB-500/600 Log File,
Name: TemHumB,
Model: USB-502,
Serial Number: 10223952,
Index,Date/Time,Temp(C),Humidity(%rh),Dew Point(C),
1,10/10/2022 2:00:00 am,9.5,51.0,-0.1,
2,10/10/2022 2:15:00 am,9.5,78.0,5.9,
3,10/10/2022 2:30:00 am,16.5,92.5,15.3,
4,10/10/2022 2:45:00 am,20.5,96.5,19.9,
5,10/10/2022 3:00:00 am,23.5,93.5,22.4,
6,10/10/2022 3:15:00 am,25.5,92.0,24.1,
7,10/10/2022 3:30:00 am,29.5,83.5,26.4,
8,10/10/2022 3:45:00 am,29.0,88.5,26.9,
9,10/10/2022 4:00:00 am,28.0,89.5,26.1,
10,10/10/2022 4:15:00 am,26.5,94.5,25.5,
11,10/10/2022 4:30:00 am,26.5,96.0,25.8,
12,10/10/2022 4:45:00 am,26.0,96.5,25.4,
13,10/10/2022 5:00:00 am,26.0,97.0,25.5,
14,10/10/2022 5:15:00 am,26.0,97.5,25.6,
15,10/10/2022 5:30:00 am,26.0,97.5,25.6,
16,10/10/2022 5:45:00 am,26.0,98.0,25.7,
17,10/10/2022 6:00:00 am,26.0,98.0,25.7,
18,10/10/2022 6:15:00 am,26.0,98.0,25.7,
19,10/10/2022 6:30:00 am,26.0,98.0,25.7,
20,10/10/2022 6:45:00 am,26.0,98.5,25.7,
21,10/10/2022 7:00:00 am,26.0,98.5,25.7,
22,10/10/2022 7:15:00 am,26.0,98.5,25.7,
23,10/10/2022 7:30:00 am,26.0,98.5,25.7,
24,10/10/2022 7:45:00 am,26.0,98.5,25.7,
25,10/10/2022 8:00:00 am,26.0,99.0,25.8,
26,10/10/2022 8:15:00 am,26.0,99.0,25.8,
27,10/10/2022 8:30:00 am,26.0,99.0,25.8,
28,10/10/2022 8:45:00 am,26.0,99.0,25.8,
29,10/10/2022 9:00:00 am,26.0,99.0,25.8,
30,10/10/2022 9:15:00 am,26.0,99.0,25.8,
31,10/10/2022 9:30:00 am,26.0,99.5,25.9,
32,10/10/2022 9:45:00 am,26.0,99.5,25.9,
33,10/10/2022 10:00:00 am,26.0,99.5,25.9,
34,10/10/2022 10:15:00 am,26.0,99.5,25.9,
35,10/10/2022 10:30:00 am,26.0,99.5,25.9,
36,10/10/2022 10:45:00 am,26.0,99.5,25.9,
37,10/10/2022 11:00:00 am,26.0,99.5,25.9,
38,10/10/2022 11:15:00 am,26.0,99.5,25.9,
39,10/10/2022 11:30:00 am,26.0,99.5,25.9,
40,10/10/2022 11:45:00 am,26.0,99.5,25.9,
41,10/10/2022 12:00:00 pm,26.0,100.0,26.0,
42,10/10/2022 12:15:00 pm,26.0,100.0,26.0,
43,10/10/2022 12:30:00 pm,26.0,100.0,26.0,
44,10/10/2022 12:45:00 pm,26.0,100.0,26.0,
45,10/10/2022 1:00:00 pm,26.0,100.0,26.0,
46,10/10/2022 1:15:00 pm,26.0,100.0,26.0,
47,10/10/2022 1:30:00 pm,26.0,100.0,26.0,
48,10/10/2022 1:45:00 pm,26.0,100.0,26.0,
49,10/10/2022 2:00:00 pm,26.0,100.0,26.0,
50,10/10/2022 2:15:00 pm,26.0,100.0,26.0,
51,10/10/2022 2:30:00 pm,26.0,100.0,26.0,
52,10/10/2022 2:45:00 pm,26.0,100.0,26.0,
53,10/10/2022 3:00:00 pm,26.0,100.0,26.0,
54,10/10/2022 3:15:00 pm,26.0,100.5,26.1,
55,10/10/2022 3:30:00 pm,26.0,100.5,26.1,
56,10/10/2022 3:45:00 pm,26.0,100.5,26.1,
57,10/10/2022 4:00:00 pm,26.0,100.5,26.1,
58,10/10/2022 4:15:00 pm,26.0,100.5,26.1,
59,10/10/2022 4:30:00 pm,26.0,100.5,26.1,
60,10/10/2022 4:45:00 pm,26.0,100.5,26.1,
61,10/10/2022 5:00:00 pm,26.0,100.5,26.1,
62,10/10/2022 5:15:00 pm,26.0,100.5,26.1,
63,10/10/2022 5:30:00 pm,26.0,100.5,26.1,
64,10/10/2022 5:45:00 pm,26.0,100.5,26.1,
65,10/10/2022 6:00:00 pm,26.0,100.5,26.1,
66,10/10/2022 6:15:00 pm,26.0,100.5,26.1,
67,10/10/2022 6:30:00 pm,26.0,100.5,26.1,
68,10/10/2022 6:45:00 pm,26.0,100.5,26.1,
69,10/10/2022 7:00:00 pm,26.0,100.5,26.1,
70,10/10/2022 7:15:00 pm,26.0,100.5,26.1,
71,10/10/2022 7:30:00 pm,26.0,100.5,26.1,
72,10/10/2022 7:45:00 pm,26.0,101.0,26.2,
73,10/10/2022 8:00:00 pm,26.0,101.0,26.2,
