USB-500/600 Log File,
Name: TempHumA,
Model: USB-502,
Serial Number: 10224052,
Index,Date/Time,Temp(C),Humidity(%rh),Dew Point(C),
1,10/10/2022 2:00:00 am,7.5,54.0,-1.2,
2,10/10/2022 2:15:00 am,8.5,98.0,8.2,
3,10/10/2022 2:30:00 am,15.5,94.5,14.6,
4,10/10/2022 2:45:00 am,20.5,93.0,19.3,
5,10/10/2022 3:00:00 am,23.5,95.0,22.7,
6,10/10/2022 3:15:00 am,26.5,92.0,25.1,
7,10/10/2022 3:30:00 am,30.5,86.0,27.9,
8,10/10/2022 3:45:00 am,30.0,86.0,27.4,
9,10/10/2022 4:00:00 am,29.0,88.0,26.8,
10,10/10/2022 4:15:00 am,27.0,97.5,26.6,
11,10/10/2022 4:30:00 am,27.0,98.0,26.7,
12,10/10/2022 4:45:00 am,26.5,99.0,26.3,
13,10/10/2022 5:00:00 am,26.5,99.0,26.3,
14,10/10/2022 5:15:00 am,26.5,99.5,26.4,
15,10/10/2022 5:30:00 am,26.0,99.5,25.9,
16,10/10/2022 5:45:00 am,26.0,99.5,25.9,
17,10/10/2022 6:00:00 am,26.0,100.0,26.0,
18,10/10/2022 6:15:00 am,26.0,100.0,26.0,
19,10/10/2022 6:30:00 am,26.0,100.0,26.0,
20,10/10/2022 6:45:00 am,26.0,100.0,26.0,
21,10/10/2022 7:00:00 am,26.0,100.5,26.1,
22,10/10/2022 7:15:00 am,26.0,100.5,26.1,
23,10/10/2022 7:30:00 am,26.0,100.5,26.1,
24,10/10/2022 7:45:00 am,26.0,100.5,26.1,
25,10/10/2022 8:00:00 am,26.0,100.5,26.1,
26,10/10/2022 8:15:00 am,26.0,100.5,26.1,
27,10/10/2022 8:30:00 am,26.0,100.5,26.1,
28,10/10/2022 8:45:00 am,26.0,100.5,26.1,
29,10/10/2022 9:00:00 am,26.0,100.5,26.1,
30,10/10/2022 9:15:00 am,26.0,101.0,26.2,
31,10/10/2022 9:30:00 am,26.0,101.0,26.2,
32,10/10/2022 9:45:00 am,26.0,101.0,26.2,
33,10/10/2022 10:00:00 am,26.0,101.0,26.2,
34,10/10/2022 10:15:00 am,26.0,101.0,26.2,
35,10/10/2022 10:30:00 am,26.0,101.0,26.2,
36,10/10/2022 10:45:00 am,26.0,101.0,26.2,
37,10/10/2022 11:00:00 am,26.0,101.0,26.2,
38,10/10/2022 11:15:00 am,26.0,101.0,26.2,
39,10/10/2022 11:30:00 am,26.0,101.0,26.2,
40,10/10/2022 11:45:00 am,26.0,101.0,26.2,
41,10/10/2022 12:00:00 pm,26.0,101.0,26.2,
42,10/10/2022 12:15:00 pm,26.0,101.5,26.3,
43,10/10/2022 12:30:00 pm,26.0,101.5,26.3,
44,10/10/2022 12:45:00 pm,26.0,101.5,26.3,
45,10/10/2022 1:00:00 pm,26.0,101.5,26.3,
46,10/10/2022 1:15:00 pm,26.0,101.5,26.3,
47,10/10/2022 1:30:00 pm,26.0,101.5,26.3,
48,10/10/2022 1:45:00 pm,26.0,101.5,26.3,
49,10/10/2022 2:00:00 pm,26.0,101.5,26.3,
50,10/10/2022 2:15:00 pm,26.0,101.5,26.3,
51,10/10/2022 2:30:00 pm,26.0,101.5,26.3,
52,10/10/2022 2:45:00 pm,26.0,101.5,26.3,
53,10/10/2022 3:00:00 pm,26.0,101.5,26.3,
54,10/10/2022 3:15:00 pm,26.0,101.5,26.3,
55,10/10/2022 3:30:00 pm,26.0,101.5,26.3,
56,10/10/2022 3:45:00 pm,26.0,101.5,26.3,
57,10/10/2022 4:00:00 pm,26.0,101.5,26.3,
58,10/10/2022 4:15:00 pm,26.0,101.5,26.3,
59,10/10/2022 4:30:00 pm,26.0,101.5,26.3,
60,10/10/2022 4:45:00 pm,26.0,102.0,26.3,
61,10/10/2022 5:00:00 pm,26.0,102.0,26.3,
62,10/10/2022 5:15:00 pm,26.0,102.0,26.3,
63,10/10/2022 5:30:00 pm,26.0,102.0,26.3,
64,10/10/2022 5:45:00 pm,26.0,102.0,26.3,
65,10/10/2022 6:00:00 pm,26.0,102.0,26.3,
66,10/10/2022 6:15:00 pm,26.0,102.0,26.3,
67,10/10/2022 6:30:00 pm,26.0,102.0,26.3,
68,10/10/2022 6:45:00 pm,26.0,102.0,26.3,
69,10/10/2022 7:00:00 pm,26.0,102.0,26.3,
70,10/10/2022 7:15:00 pm,26.0,102.0,26.3,
71,10/10/2022 7:30:00 pm,26.0,102.0,26.3,
72,10/10/2022 7:45:00 pm,26.0,102.0,26.3,
73,10/10/2022 8:00:00 pm,26.0,102.0,26.3,
74,10/10/2022 8:15:00 pm,26.0,102.0,26.3,
75,10/10/2022 8:30:00 pm,26.0,102.0,26.3,
76,10/10/2022 8:45:00 pm,26.0,102.0,26.3,
77,10/10/2022 9:00:00 pm,26.0,102.0,26.3,
78,10/10/2022 9:15:00 pm,26.0,102.0,26.3,
79,10/10/2022 9:30:00 pm,26.0,102.0,26.3,
80,10/10/2022 9:45:00 pm,26.0,102.0,26.3,
81,10/10/2022 10:00:00 pm,26.0,102.0,26.3,
82,10/10/2022 10:15:00 pm,26.0,102.0,26.3,
83,10/10/2022 10:30:00 pm,26.0,102.0,26.3,
84,10/10/2022 10:45:00 pm,26.0,102.0,26.3,
85,10/10/2022 11:00:00 pm,26.0,102.0,26.3,
86,10/10/2022 11:15:00 pm,26.0,102.0,26.3,
87,10/10/2022 11:30:00 pm,26.0,102.0,26.3,
88,10/10/2022 11:45:00 pm,26.0,102.0,26.3,
89,11/10/2022 12:00:00 am,26.0,102.0,26.3,
90,11/10/2022 12:15:00 am,26.0,102.0,26.3,
91,11/10/2022 12:30:00 am,26.0,102.0,26.3,
92,11/10/2022 12:45:00 am,26.0,102.0,26.3,
93,11/10/2022 1:00:00 am,26.0,102.5,26.4,
